지역,공원명,공원면적,인구,구면적,인당 공원면적,구당 공원면적 비율
강남구,7,3894747,544055,39500000.0,7.158737627629559,0.09860118987341772
강동구,7,8510446,463998,24590000.0,18.34155750671339,0.3460937779585197
강북구,3,2365346,311569,23600000.0,7.5917244655277,0.10022652542372881
강서구,9,6930513,585901,41440000.0,11.828812376152285,0.16724210907335907
관악구,1,10634,509803,29570000.0,0.020859037706722008,0.0003596212377409537
광진구,2,584002,360109,17060000.0,1.6217367519278885,0.03423223915592028
구로구,4,1617657,432488,20120000.0,3.7403511773737073,0.08040044731610338
금천구,4,57568,247835,13020000.0,0.23228357576613473,0.004421505376344086
노원구,1,5332422,527032,35440000.0,10.117833452238195,0.15046337471783297
도봉구,6,1084218,327361,20650000.0,3.3119950146779855,0.05250450363196126
동대문구,4,595281,357014,14220000.0,1.6673883937324587,0.04186223628691983
동작구,6,4902083,401572,16350000.000000002,12.207233074019104,0.29982159021406724
마포구,5,4915148,381858,23850000.0,12.871664335957345,0.20608587002096437
서대문구,3,12421922,322952,17630000.0,38.46367881295053,0.7045900170164492
서초구,6,13359636,429025,46980000.0,31.139527999533826,0.2843685823754789
성동구,5,673618,300505,16860000.0,2.241619939768057,0.03995361803084223
성북구,3,1198327,447056,24580000.0,2.680485218854014,0.04875211554109032
송파구,7,3433243,673926,33870000.0,5.094391669115007,0.10136530853262474
양천구,5,6903439,457781,17410000.0,15.080221765429322,0.39652148190695
영등포구,5,424446,407367,24550000.0,1.0419253400496358,0.017289042769857432
용산구,2,1788841,244645,21870000.0,7.311986756320382,0.08179428440786465
은평구,7,2986466,484043,29710000.0,6.169836150920476,0.10052056546617301
종로구,10,3953063,158996,23910000.0,24.862656922186723,0.1653309493935592
중구,4,4867169,134635,9960000.0,36.150844876889366,0.48867158634538155
중랑구,6,7078975,399562,18500000.0,17.716837436993508,0.3826472972972973
